name	version	archive_sha256	unpacked_source
solana-hash	4.5.0	6f4c847893a2ea50b4ae3ca723b124e07cd0544fecea3598f785168f9b78333f	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-hash-4.5.0
solana-instruction	3.4.1	a3957ca1d31107efd9a6bb88b25c348ca5e3b4b6683e3d08adb86d3d17aa01f1	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-instruction-3.4.1
solana-instruction-error	2.4.0	3b7d34343838343a3755b7dfb1e438d94c6db2263b519cfe3c2257af932b6e93	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-instruction-error-2.4.0
solana-keypair	3.1.2	263d614c12aa267a3278703175fd6440552ca61bc960b5a02a4482720c53438b	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-keypair-3.1.2
solana-program-entrypoint	3.1.1	84c9b0a1ff494e05f503a08b3d51150b73aa639544631e510279d6375f290997	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-program-entrypoint-3.1.1
solana-program-error	3.0.1	4f04fa578707b3612b095f0c8e19b66a1233f7c42ca8082fcb3b745afcc0add6	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-program-error-3.0.1
solana-program-memory	3.1.0	4068648649653c2c50546e9a7fb761791b5ab0cda054c771bb5808d3a4b9eb52	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-program-memory-3.1.0
solana-pubkey	4.2.0	7db719574990de7e8b0f55a8593ac92a5ccb42c8ce67b3e4bf05b139d5d9ee71	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-pubkey-4.2.0
solana-sanitize	3.0.1	dcf09694a0fc14e5ffb18f9b7b7c0f15ecb6eac5b5610bf76a1853459d19daf9	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-sanitize-3.0.1
solana-sdk-ids	3.1.0	def234c1956ff616d46c9dd953f251fa7096ddbaa6d52b165218de97882b7280	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-sdk-ids-3.1.0
solana-seed-phrase	3.0.0	dc905b200a95f2ea9146e43f2a7181e3aeb55de6bc12afb36462d00a3c7310de	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-seed-phrase-3.0.0
solana-sha256-hasher	3.1.0	db7dc3011ea4c0334aaaa7e7128cb390ecf546b28d412e9bf2064680f57f588f	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-sha256-hasher-3.1.0
solana-signature	3.4.1	b0364c7577c3c82a693ce28a1febc8d1b5d1b0a175fdc2114ae6186b69effe1e	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-signature-3.4.1
solana-signer	3.0.1	520bd6021163ee517f4bdc7ae03ded904f97e11320001ba0b3355f45eb14f558	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-signer-3.0.1
