# direct-r10 frame audit, one row per disassembled function region
# max_offset	references	provenance	symbol
# regions=1077 first_party_regions=927 deepest=4096 at _ZN10clutch_sbf11claim_truth21observe_outcome_mints
 4096	   462	first-party	_ZN10clutch_sbf12instructions12orders_batch20settle_virtual_slice
 4096	   504	first-party	_ZN10clutch_sbf12instructions8artifact7process
 4096	   526	first-party	_ZN10clutch_sbf12instructions19direct_selection_v36staged6submit
 4096	   539	first-party	_ZN10clutch_sbf12instructions5split7process
 4096	   557	first-party	_ZN10clutch_sbf12instructions19direct_selection_v38terminal6settle
 4096	   577	first-party	_ZN10clutch_sbf12instructions19direct_selection_v38terminal8finalize
 4096	   703	first-party	_ZN10clutch_sbf12instructions17merge_materialize7process
 4096	   734	first-party	_ZN10clutch_sbf12instructions13external_exit7process
 4096	   757	first-party	_ZN10clutch_sbf12instructions15observe_resolve14resolve_global
 4096	  1119	first-party	_ZN10clutch_sbf12instructions7genesis7process
 4096	  1420	first-party	_ZN20clutch_solana_layout6Intent6decode
 4080	    30	first-party	_ZN10clutch_sbf12instructions15observe_resolve11pure_market
 4008	    49	first-party	_ZN10clutch_sbf12instructions15observe_resolve20derive_from_evidence
 3496	   316	first-party	_ZN10clutch_sbf12instructions16direct_selection32prepare_verified_selected_window
 3432	    32	first-party	_ZN10clutch_sbf12instructions12orders_batch27load_direct_submission_plan
 3216	    56	first-party	_ZN10clutch_sbf12instructions15observe_resolve23bound_native_resolution
 3152	   167	first-party	_ZN10clutch_sbf12instructions12orders_batch11reservation13apply_release
 3008	    40	first-party	_ZN10clutch_sbf12instructions15observe_resolve33resolution_work_terms_and_payouts
 2968	    37	first-party	_ZN10clutch_sbf12instructions13external_exit13kernel_redeem
 2944	     8	first-party	_ZN10clutch_sbf12instructions15observe_resolve22payout_set_binds_terms
 2848	    25	first-party	_ZN10clutch_sbf12instructions15observe_resolve25reconstruct_native_market
 2816	    30	first-party	_ZN10clutch_sbf12instructions11market_init25require_kernel_invariants
 2784	    24	first-party	_ZN10clutch_sbf12instructions15observe_resolve13kernel_redeem
 2768	    17	first-party	_ZN10clutch_sbf12instructions15observe_resolve14kernel_resolve
 2736	    51	first-party	_ZN10clutch_sbf12instructions11market_init16terms_payout_set
 2728	   343	first-party	_ZN10clutch_sbf12instructions15resolution_work21initialize_begin_work
 2720	    53	first-party	_ZN10clutch_sbf12instructions5split11kernel_step
 2632	   452	first-party	_ZN20clutch_solana_layout15resolution_work23ResolutionWorkAccountV16decode
 2624	   266	first-party	_ZN10clutch_sbf12instructions12orders_batch12cancel_order
 2608	    33	first-party	_ZN10clutch_sbf12instructions11market_init22require_kernel_payouts
 2544	    13	first-party	_ZN10clutch_sbf12instructions15observe_resolve11load_kernel
 2544	    18	first-party	_ZN10clutch_sbf11claim_truth19write_kernel_totals
 2536	    11	first-party	_ZN10clutch_sbf11claim_truth19decode_kernel_boxed
 2536	    15	first-party	_ZN10clutch_sbf12instructions15observe_resolve12write_kernel
 2488	   474	other	_ZN23clutch_solana_reference13KernelAccount6decode
 2472	    31	first-party	_ZN10clutch_sbf12instructions15observe_resolve18terms_binds_market
 2472	    61	first-party	_ZN10clutch_sbf12instructions19direct_selection_v36common9grid_tick
 2408	     8	first-party	_ZN10clutch_sbf12instructions15observe_resolve13derived_terms
 2392	    16	first-party	_ZN10clutch_sbf12instructions11market_init12write_kernel
 2368	    53	first-party	_ZN10clutch_sbf12instructions15resolution_work23authenticate_work_terms
 2328	    12	first-party	_ZN10clutch_sbf12instructions15observe_resolve27derive_occupation_candidate
 2208	     6	first-party	_ZN10clutch_sbf12instructions11market_init26require_payout_set_binding
 2200	   259	first-party	_ZN10clutch_sbf12instructions19direct_selection_v36common35release_reservations_into_positions
 2184	   237	first-party	_ZN20clutch_solana_layout19direct_selection_v326DirectReservationV2Account6decode
 2144	    58	first-party	_ZN10clutch_sbf12instructions19direct_selection_v36common25read_reservation_v2_boxed
 2072	   280	first-party	_ZN10clutch_sbf12instructions5split20pooled_set_preflight
 2056	    52	first-party	_ZN10clutch_sbf12instructions19direct_selection_v38terminal26selected_candidate_funding
 2048	   114	first-party	_ZN10clutch_sbf12instructions19direct_selection_v36common19read_epoch_v4_boxed
 2016	   688	first-party	_ZN10clutch_sbf12instructions11market_init20validate_market_wide
 2000	   144	first-party	_ZN20clutch_solana_layout8artifact17validate_artifact
 1976	   201	first-party	_ZN10clutch_sbf12instructions16direct_selection28prepare_submission_candidate
 1888	    51	first-party	_ZN10clutch_sbf13native_window26preflight_verified_archive
 1872	     5	first-party	_ZN10clutch_sbf12instructions16direct_selection28authenticate_one_reservation
 1848	   140	first-party	_ZN10clutch_sbf12instructions19direct_selection_v36common20read_window_v3_boxed
 1832	    12	first-party	_ZN10clutch_sbf12instructions16direct_selection18require_grid_ticks
 1832	    52	first-party	_ZN10clutch_sbf8accounts10read_terms
 1824	   204	first-party	_ZN10clutch_sbf12instructions19direct_selection_v36staged25load_retained_registry_v3
 1808	   123	first-party	_ZN10clutch_sbf12instructions15observe_resolve27derive_native_from_evidence
 1784	     5	first-party	_ZN10clutch_sbf12instructions16source_ingest_v224append_source_archive_v2
 1784	    69	first-party	_ZN10clutch_sbf12instructions16direct_selection14selected_facts
 1744	    26	first-party	_ZN10clutch_sbf12instructions8artifact20validate_for_runtime
 1672	     5	first-party	_ZN10clutch_sbf12instructions15observe_resolve23record_binds_full_terms
 1664	     4	first-party	_ZN10clutch_sbf12instructions15observe_resolve29occupation_record_binds_terms
 1664	     4	first-party	_ZN10clutch_sbf12instructions15observe_resolve30native_record_binds_full_terms
 1656	     2	first-party	_ZN10clutch_sbf12instructions12orders_batch18decode_terms_boxed
 1632	   251	first-party	_ZN10clutch_sbf12instructions16direct_selection29authenticate_selection_source
 1600	    46	first-party	_ZN10clutch_sbf12instructions19direct_selection_v36staged23read_candidate_v3_boxed
 1600	    46	first-party	_ZN10clutch_sbf12instructions19direct_selection_v38terminal32read_candidate_v3_boxed_terminal
 1576	    78	other	_ZN23clutch_solana_reference10resolution20derive_payout_vector
 1576	   570	first-party	_ZN20clutch_solana_layout6stream15OrderSlotCursor9next_slot
 1504	    94	first-party	_ZN10clutch_sbf12instructions19direct_selection_v38terminal28reverified_candidate_funding
 1496	    85	first-party	_ZN10clutch_sbf12instructions19direct_selection_v38terminal21close_candidate_entry
 1496	   126	first-party	_ZN10clutch_sbf12instructions16source_ingest_v213mutate_prefix
 1480	     7	first-party	_ZN10clutch_sbf12instructions15observe_resolve22write_market_lifecycle
 1480	    21	first-party	_ZN10clutch_sbf17source_archive_v229verify_source_spec_v2_account
 1480	   128	first-party	_ZN10clutch_sbf12instructions12orders_batch20validate_place_order
 1464	    51	first-party	_ZN10clutch_sbf8accounts11read_market
 1464	   197	first-party	_ZN10clutch_sbf12instructions16direct_selection22load_retained_registry
 1456	    48	first-party	_ZN10clutch_sbf12instructions15observe_resolve11market_head
 1448	    15	first-party	_ZN10clutch_sbf8accounts11read_kernel
 1448	    16	first-party	_ZN10clutch_sbf12instructions15observe_resolve11kernel_head
 1448	   329	first-party	_ZN20clutch_solana_layout19direct_selection_v320DirectEpochV4Account6decode
 1440	   359	first-party	_ZN20clutch_solana_layout13MarketAccount6decode
 1432	    72	first-party	_ZN10clutch_sbf12instructions16direct_selection24write_candidate_statuses
 1432	   423	first-party	_ZN10clutch_sbf12instructions16direct_selection23authenticate_settlement
 1416	   475	other	_ZN14clutch_bspline18ValidatedBasisSpec15evaluate_smooth
 1400	    10	first-party	_ZN10clutch_sbf11claim_truth18read_kernel_totals
 1392	    78	first-party	_ZN20clutch_solana_layout20portfolio_settlement18PortfolioFundingV19for_order
 1392	   287	first-party	_ZN20clutch_solana_layout19direct_selection_v321DirectWindowV3Account6decode
 1376	    44	first-party	_ZN10clutch_sbf13native_window26summarize_verified_archive
 1375	     3	first-party	_ZN10clutch_sbf12instructions15observe_resolve17kernel_invariants
 1352	    30	first-party	_ZN10clutch_sbf12instructions16direct_selection24mark_displaced_candidate
 1352	   180	first-party	_ZN20clutch_solana_layout11reservation18ReservationAccount6decode
 1336	   134	first-party	_ZN20clutch_solana_layout8clearing19seal_candidate_feed
 1328	    55	first-party	_ZN10clutch_sbf12instructions19direct_selection_v36staged21issue_candidate_boxed
 1328	   210	first-party	_ZN10clutch_sbf12instructions12orders_batch10clear_walk19load_clearing_plane
 1312	    50	first-party	_ZN10clutch_sbf12instructions11market_init12write_market
 1304	     5	first-party	_ZN10clutch_sbf12instructions15resolution_work16write_begin_work
 1270	    11	first-party	_ZN10clutch_sbf12instructions13external_exit19write_kernel_totals
 1264	    11	first-party	_ZN10clutch_sbf12instructions13external_exit28require_resolved_kernel_head
 1264	    88	first-party	_ZN10clutch_sbf12instructions12orders_batch43validate_direct_submission_source_addresses
 1264	   336	first-party	_ZN10clutch_sbf12instructions12orders_batch13general_epoch12freeze_epoch
 1256	   282	first-party	_ZN12clutch_batch18relation_v1_stream11ClearWorkV111decode_into
 1251	     6	first-party	_ZN10clutch_sbf12instructions16direct_selection19entitle_reservation
 1248	  1203	first-party	_ZN12clutch_batch18relation_v1_stream11ClearWorkV110push_order
 1208	     3	first-party	_ZN10clutch_sbf12instructions16direct_selection35authenticate_selection_source_boxed
 1184	    26	first-party	_ZN10clutch_sbf12instructions12orders_batch28validate_reservation_address
 1184	    26	first-party	_ZN10clutch_sbf12instructions16direct_selection28validate_reservation_address
 1168	   103	first-party	_ZN10clutch_sbf12instructions7genesis15validated_endow
 1144	    72	first-party	_ZN10clutch_sbf12instructions12orders_batch11entitlement11locate_pair
 1128	    21	first-party	_ZN20clutch_solana_layout16PriceGridAccount6decode
 1120	    53	first-party	_ZN20clutch_solana_layout8clearing21verify_candidate_feed
 1112	   136	first-party	_ZN28clutch_batch_policy_identity16direct_window_v123plan_admission_retained
 1104	   196	first-party	_ZN10clutch_sbf12instructions12orders_batch21validate_cancel_order
 1096	    46	first-party	_ZN10clutch_sbf13native_window24validate_archive_binding
 1088	    30	first-party	_ZN28clutch_batch_policy_identity16direct_window_v123plan_selection_retained
 1088	    57	first-party	_ZN20clutch_solana_layout10collateral16CollateralPolicy6decode
 1088	    97	first-party	_ZN10clutch_sbf12instructions12orders_batch16terminal_closure14close_position
 1080	    67	first-party	_ZN10clutch_sbf11claim_truth24commit_observed_supplies
 1056	    27	first-party	_ZN10clutch_sbf12instructions15resolution_work18project_work_terms
 1056	   354	first-party	_ZN10clutch_sbf12instructions13source_ingest14verify_spec_v2
 1048	     9	first-party	_ZN10clutch_sbf12instructions5split11ledger_step
 1024	   160	first-party	_ZN10clutch_sbf12instructions12orders_batch16terminal_closure18load_selected_feed
 1024	   272	other	_ZN23clutch_solana_reference13KernelAccount6encode
 1008	    36	first-party	_ZN10clutch_sbf12instructions19direct_selection_v36staged18first_window_state
 1000	    12	first-party	_ZN10clutch_sbf12instructions19direct_selection_v36staged29persist_candidate_observation
  992	   101	first-party	_ZN20clutch_solana_layout6stream19verify_page_on_grid
  992	   120	first-party	_ZN20clutch_solana_layout16direct_selection20DirectEpochV3Account4open
  968	  1083	first-party	_ZN12clutch_batch18relation_v1_stream11ClearWorkV18end_pass
  960	   314	first-party	_ZN20clutch_solana_layout19direct_selection_v324DirectCandidateV3Account6decode
  952	   110	first-party	_ZN10clutch_sbf12instructions12orders_batch11entitlement15load_bound_feed
  928	    28	first-party	_ZN10clutch_sbf12instructions13source_ingest19init_source_archive
  928	    91	first-party	_ZN20clutch_solana_layout11reservation18ReservationAccount6active
  928	   226	first-party	_ZN20clutch_solana_layout6stream19verify_page_folding
  904	    67	first-party	_ZN20clutch_solana_layout10collateral23verify_profile_identity
  904	    70	first-party	_ZN10clutch_sbf12instructions16direct_selection27authenticate_settlement_pot
  904	   289	first-party	_ZN10clutch_sbf12instructions13source_ingest11verify_spec
  896	   197	first-party	_ZN28clutch_batch_policy_identity16direct_window_v123DirectCandidateWindowV111decode_body
  888	    54	first-party	_ZN10clutch_sbf12instructions12orders_batch11entitlement18require_frozen_pot
  888	    60	first-party	_ZN10clutch_sbf12instructions13source_ingest16init_source_spec
  888	    75	first-party	_ZN10clutch_sbf12instructions19direct_selection_v38terminal27authenticate_settlement_pot
  888	   187	first-party	_ZN20clutch_solana_layout20portfolio_settlement22NativePortfolioClaimV17compile
  880	   125	first-party	_ZN10clutch_sbf12instructions12orders_batch24validate_direct_v4_place
  880	   260	first-party	_ZN10clutch_sbf12instructions15observe_resolve14fold_feed_page
