name	version	source	checksum	license
blst	0.3.17	registry+https://github.com/rust-lang/crates.io-index	c20659f9bbee16cbbd2f7393e40ab6309f5a98f76a2eb57a995ec508b72387fe	Apache-2.0
blstrs	0.7.1	registry+https://github.com/rust-lang/crates.io-index	7a8a8ed6fefbeef4a8c7b460e4110e12c5e22a5b7cf32621aae6ad650c4dcf29	MIT/Apache-2.0
borsh	1.8.0	registry+https://github.com/rust-lang/crates.io-index	a88b7ea17d208c4193f2c1e6de3c35fe71f98c96982d5ced308bdcc749ff6e1f	MIT OR Apache-2.0
borsh-derive	1.8.0	registry+https://github.com/rust-lang/crates.io-index	d8f347189c62a579b8cd5f80714efa178f52e461dc2e6d701d264f5ff22e566c	Apache-2.0
brotli	8.0.4	registry+https://github.com/rust-lang/crates.io-index	5cc91aac060a7a1e25823bdccbfb6af1875b88f17c6daac97894eed8207166b3	BSD-3-Clause AND MIT
brotli-decompressor	5.0.3	registry+https://github.com/rust-lang/crates.io-index	3a32acac15fe1967bc3986b2a6347dffc965602354ea6f450ad07e8bfd253583	BSD-3-Clause/MIT
bs58	0.5.1	registry+https://github.com/rust-lang/crates.io-index	bf88ba1141d185c399bee5288d850d63b8369520c1eafc32a0430b5b6c287bf4	MIT/Apache-2.0
bumpalo	3.20.3	registry+https://github.com/rust-lang/crates.io-index	72f5acc6cb2ba439de613abc23857ec3d78374d8ed5ac84e9d11336e87da8649	MIT OR Apache-2.0
bv	0.11.1	registry+https://github.com/rust-lang/crates.io-index	8834bb1d8ee5dc048ee3124f2c7c1afcc6bc9aed03f11e9dfd8c69470a5db340	MIT/Apache-2.0
byte-slice-cast	1.2.3	registry+https://github.com/rust-lang/crates.io-index	7575182f7272186991736b70173b0ea045398f984bf5ebbb3804736ce1330c9d	MIT
bytemuck	1.25.2	registry+https://github.com/rust-lang/crates.io-index	95832e849adfb21180ccb6826a99da14e5d266ae5c2e668e1602cf234f153797	Zlib OR Apache-2.0 OR MIT
bytemuck_derive	1.12.0	registry+https://github.com/rust-lang/crates.io-index	fc0e56a716f1e132ff6bf4bdac1c944a3fcdc1cae65f70a4a2a1ac3b401d2d1f	Zlib OR Apache-2.0 OR MIT
byteorder	1.5.0	registry+https://github.com/rust-lang/crates.io-index	1fd0f2584146f6f2ef48085050886acf353beff7305ebd1ae69500e27c67f64b	Unlicense OR MIT
bytes	1.12.1	registry+https://github.com/rust-lang/crates.io-index	fc652a48c352aef3ea3aed32080501cf3ef6ed5da78602a020c991775b0aff04	MIT
bzip2	0.6.1	registry+https://github.com/rust-lang/crates.io-index	f3a53fac24f34a81bc9954b5d6cfce0c21e18ec6959f44f56e8e90e4bb7c346c	MIT OR Apache-2.0
camino	1.2.5	registry+https://github.com/rust-lang/crates.io-index	bb1307f12aa967b5a58416e87b3653360e0fd614a016b6e970db08fecbb1b80d	MIT OR Apache-2.0
caps	0.5.6	registry+https://github.com/rust-lang/crates.io-index	fd1ddba47aba30b6a889298ad0109c3b8dcb0e8fc993b459daa7067d46f865e0	MIT/Apache-2.0
cargo-platform	0.3.3	registry+https://github.com/rust-lang/crates.io-index	dd0061da739915fae12ea00e16397555ed4371a6bb285431aab930f61b0aa4ba	MIT OR Apache-2.0
cargo_metadata	0.23.1	registry+https://github.com/rust-lang/crates.io-index	ef987d17b0a113becdd19d3d0022d04d7ef41f9efe4f3fb63ac44ba61df3ade9	MIT
cc	1.4.3	registry+https://github.com/rust-lang/crates.io-index	509591b7bcd67f4ef775afad7662703b4935daaa6ec0e5605cfb1090b32a2b6d	MIT OR Apache-2.0
cfg-if	1.0.4	registry+https://github.com/rust-lang/crates.io-index	9330f8b2ff13f34540b44e946ef35111825727b38d33286ef986142615121801	MIT OR Apache-2.0
cfg_aliases	0.2.2	registry+https://github.com/rust-lang/crates.io-index	f079e83a288787bcd14a6aea84cee5c87a67c5a3e660c30f557a3d24761b3527	MIT
cfg_eval	0.1.2	registry+https://github.com/rust-lang/crates.io-index	45565fc9416b9896014f5732ac776f810ee53a66730c17e4020c3ec064a8f88f	Zlib OR MIT OR Apache-2.0
chacha20	0.10.1	registry+https://github.com/rust-lang/crates.io-index	d524456ba66e72eb8b115ff89e01e497f8e6d11d78b70b1aa13c0fbd97540a81	MIT OR Apache-2.0
chrono	0.4.45	registry+https://github.com/rust-lang/crates.io-index	1aa79e62e7697b8e29b513a68abacf485adcd1fe8284a4316c5ae868e6633327	MIT OR Apache-2.0
chrono-humanize	0.2.3	registry+https://github.com/rust-lang/crates.io-index	799627e6b4d27827a814e837b9d8a504832086081806d45b1afa34dc982b023b	MIT/Apache-2.0
cipher	0.4.4	registry+https://github.com/rust-lang/crates.io-index	773f3b9af64447d2ce9850330c473515014aa235e6a783b02db81ff39e4a3dad	MIT OR Apache-2.0
clutch-accumulator	0.1.0	path+crates/clutch-accumulator	-	AGPL-3.0-or-later
clutch-batch	0.1.0	path+crates/clutch-batch	-	AGPL-3.0-or-later
clutch-batch-policy-identity	0.1.0	path+research/batch-policy-identity	-	AGPL-3.0-or-later
clutch-bspline	0.1.0	path+crates/clutch-bspline	-	AGPL-3.0-or-later
clutch-bspline-accumulator	0.1.0	path+crates/clutch-bspline-accumulator	-	AGPL-3.0-or-later
clutch-bspline-shape-compiler	0.1.0	path+research/bspline-shape-compiler	-	AGPL-3.0-or-later
clutch-claim-algebra-model	0.1.0	path+research/claim-algebra-model	-	AGPL-3.0-or-later
clutch-claim-neutral-resolution	0.1.0	path+research/claim-neutral-resolution	-	AGPL-3.0-or-later
clutch-failure-payout-v1	0.1.0	path+research/failure-payout-v1	-	AGPL-3.0-or-later
clutch-fractional-redemption	0.1.0	path+research/fractional-redemption	-	AGPL-3.0-or-later
clutch-invariant-campaign	0.1.0	path+tools/invariant-campaign	-	AGPL-3.0-or-later
clutch-kernel	0.1.0	path+crates/clutch-kernel	-	AGPL-3.0-or-later
clutch-liquidity-policy-model	0.1.0	path+research/liquidity-policy-model	-	AGPL-3.0-or-later
clutch-liveness	0.1.0	path+crates/clutch-liveness	-	AGPL-3.0-or-later
clutch-liveness-account-probe	0.1.0	path+research/liveness-policy-profile	-	AGPL-3.0-or-later
clutch-lp-mapping-probe	0.1.0	path+research/lp-mapping-probe	-	AGPL-3.0-or-later
